2026/06/23 12:15:23 ota-server: postgres not ready yet: store: ping postgres: failed to connect to `user=helix database=helix_ota`: 10.89.12.18:5432 (postgres): dial error: dial tcp 10.89.12.18:5432: connect: connection refused — retrying in 2s
2026/06/23 12:15:25 ota-server: persistence = PostgreSQL (pgx)
2026/06/23 12:15:25 ota-server: listening on :8080 (plain HTTP, base path /api/v1)
2026/06/23 12:15:26 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:29 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:30 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:32 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:34 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:34 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:37 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:38 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:42 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:46 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:50 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:53 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:15:57 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:01 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:05 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:09 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:13 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:17 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:21 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:25 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:29 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:33 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:37 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:41 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:44 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:48 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:52 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:16:56 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:00 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:04 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:08 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:12 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:16 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:20 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:24 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:28 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
2026/06/23 12:17:32 ota-server: readiness probe: idempotent store (expected before any idempotent requests)
